Group.1,settingsNum,roundid,matchid,matchDate,competition,timeUncertainty,support,nRound,nConnected,chat_per_round,tools,innovation,inmot1,inmot2,tolerance,framing,GroupVote1,GroupVote2,round,group,player,structure,pressure,toolsCPT,toolsEUT,toolsPT,toolsCPTEXP,risk,prb,structureHie,structureCel,structureNet,centralization,leaderWeight,compStrong,complexity,density,player,grmot1,grmot2,conformity,nPlayers,unanimity,unanimous
1334002,2,1334002,13340,18480,0,1,0,9,7,7,3,-1,0.428571429,0,0,1,NaN,NaN,2,13340,NaN,NaN,1,2,1,2,2,0.06,1.39,0,1,0,0,0.2,0,0,0.19047619,725.8571429,0.428571429,0,0.428571429,7,0.857142857,0
1334003,2,1334003,13340,18480,0,1,0,9,7,8,11,NA,NaN,NaN,0,2,NaN,NaN,3,13340,NaN,NaN,1,2,1,2,2,NA,NaN,0,1,0,0,0.2,0,0,0.19047619,725.8571429,NA,NA,NA,7,0.857142857,NA
1334004,2,1334004,13340,18480,0,1,0,9,7,5,1,-1,0,0,0,0,NaN,NaN,4,13340,NaN,NaN,2,1,1,2,1,0.23,1.1,0,1,0,0,0.2,0,0,0.19047619,725.8571429,0,0,0,7,0.857142857,0
1334005,2,1334005,13340,18480,0,1,0,9,7,3,1,-1,0.142857143,0,0,2,NaN,NaN,5,13340,NaN,NaN,2,1,1,2,1,0.23,1.1,0,1,0,0,0.2,0,0,0.19047619,725.8571429,0.142857143,0,0.142857143,7,0.857142857,0
1334006,2,1334006,13340,18480,0,1,0,9,7,3,10,NA,NaN,NaN,0,1,NaN,NaN,6,13340,NaN,NaN,2,2,1,2,2,NA,NaN,0,1,0,0,0.2,0,0,0.19047619,725.8571429,NA,NA,NA,7,0.857142857,NA
1334007,2,1334007,13340,18480,0,1,0,9,7,11,9,NA,NaN,NaN,0,0,NaN,NaN,7,13340,NaN,NaN,1,2,1,2,2,NA,NaN,0,1,0,0,0.2,0,0,0.19047619,725.8571429,NA,NA,NA,7,0.857142857,NA
1334008,2,1334008,13340,18480,0,1,0,9,7,4,2,-1,0.142857143,0,0,1,NaN,NaN,8,13340,NaN,NaN,1,1,1,2,1,0.23,1.1,0,1,0,0,0.2,0,0,0.19047619,725.8571429,0.142857143,0,0.142857143,7,0.857142857,0
1334009,2,1334009,13340,18480,0,1,0,9,7,0,1,-1,0.142857143,0,0,2,NaN,NaN,9,13340,NaN,NaN,1,1,1,2,1,0.23,1.1,0,1,0,0,0.2,0,0,0.19047619,725.8571429,0.142857143,0,0.142857143,7,0.857142857,0
1334101,2,1334101,13341,18481,0,1,0,13,7,6,12,NA,NaN,NaN,0,0,NaN,NaN,1,13341,NaN,NaN,1,2,1,2,2,NA,NaN,0,1,0,0,0.2,0,0,0.19047619,524.5714286,NA,NA,NA,7,0.857142857,NA
1334102,2,1334102,13341,18481,0,1,0,13,7,8,2,0,0.285714286,0.285714286,0,1,NaN,NaN,2,13341,NaN,NaN,1,1,1,2,1,0.23,1.1,0,1,0,0,0.2,0,0,0.19047619,524.5714286,0.285714286,0.285714286,0,7,0.857142857,0
1334103,2,1334103,13341,18481,0,1,0,13,7,5,1,0,0.142857143,0.142857143,0,2,NaN,NaN,3,13341,NaN,NaN,1,1,1,2,1,0.23,1.1,0,1,0,0,0.2,0,0,0.19047619,524.5714286,0.142857143,0.142857143,0,7,0.857142857,0
1334104,2,1334104,13341,18481,0,1,0,13,7,3,3,0,0.285714286,0.285714286,0,0,NaN,NaN,4,13341,NaN,NaN,2,2,1,2,2,0.06,1.39,0,1,0,0,0.2,0,0,0.19047619,524.5714286,0.285714286,0.285714286,0,7,0.857142857,0
1334105,2,1334105,13341,18481,0,1,0,13,7,3,4,0,0.142857143,0.142857143,0,2,NaN,NaN,5,13341,NaN,NaN,2,2,1,2,2,-0.17,1.26,0,1,0,0,0.2,0,0,0.19047619,524.5714286,0.142857143,0.142857143,0,7,0.857142857,0
1334106,2,1334106,13341,18481,0,1,0,13,7,3,1,0,0.142857143,0.142857143,0,1,NaN,NaN,6,13341,NaN,NaN,2,1,1,2,1,0.23,1.1,0,1,0,0,0.2,0,0,0.19047619,524.5714286,0.142857143,0.142857143,0,7,0.857142857,0
1334107,2,1334107,13341,18481,0,1,0,13,7,5,9,NA,NaN,NaN,0,0,NaN,NaN,7,13341,NaN,NaN,1,2,1,2,2,NA,NaN,0,1,0,0,0.2,0,0,0.19047619,524.5714286,NA,NA,NA,7,0.857142857,NA
1334108,2,1334108,13341,18481,0,1,0,13,7,5,1,-1,0.142857143,0,0,1,NaN,NaN,8,13341,NaN,NaN,1,1,1,2,1,0.23,1.1,0,1,0,0,0.2,0,0,0.19047619,524.5714286,0.142857143,0,0.142857143,7,0.857142857,0
1334109,2,1334109,13341,18481,0,1,0,13,7,4,10,NA,NaN,NaN,0,2,NaN,NaN,9,13341,NaN,NaN,1,2,1,2,2,NA,NaN,0,1,0,0,0.2,0,0,0.19047619,524.5714286,NA,NA,NA,7,0.857142857,NA
1334110,2,1334110,13341,18481,0,1,0,13,7,0,5,0,0.142857143,0.285714286,0,1,NaN,NaN,10,13341,NaN,NaN,2,2,2,2,1,0,1.03,0,1,0,0,0.2,0,1,0.238095238,524.5714286,0.142857143,0.285714286,0,7,0.857142857,0
1334111,2,1334111,13341,18481,0,1,0,13,7,3,7,-1,0.142857143,0,0,2,NaN,NaN,11,13341,NaN,NaN,2,2,2,2,2,0.24,7.43,0,1,0,0,0.2,0,1,0.238095238,524.5714286,0.142857143,0,0.142857143,7,0.857142857,0
1334112,2,1334112,13341,18481,0,1,0,13,7,0,6,0,0.142857143,0.285714286,0,1,NaN,NaN,12,13341,NaN,NaN,1,2,1,2,2,0.05,1.03,0,1,0,0,0.2,0,1,0.285714286,524.5714286,0.142857143,0.285714286,0,7,0.857142857,0
1334113,2,1334113,13341,18481,0,1,0,13,7,5,8,0,0.142857143,0.285714286,0,1,NaN,NaN,13,13341,NaN,NaN,1,1,1,1,2,0,0,0,1,0,0,0.2,0,1,0.285714286,524.5714286,0.142857143,0.285714286,0,7,0.857142857,0
1334201,3,1334201,13342,18479,0,1,0,13,7,3,10,NA,NaN,NaN,0,0,NaN,NaN,1,13342,NaN,NaN,1,2,1,2,2,NA,NaN,0,0,1,0.83,0,0,0,0.666666667,797.4285714,NA,NA,NA,7,0.857142857,NA
1334202,3,1334202,13342,18479,0,1,0,13,7,2,3,-1,0,0,0,2,NaN,NaN,2,13342,NaN,NaN,1,2,1,2,2,0.06,1.39,0,0,1,0.83,0,0,0,0.666666667,797.4285714,0,0,0,7,0.857142857,0
1334203,3,1334203,13342,18479,0,1,0,13,7,3,4,-1,0,0,0,1,NaN,NaN,3,13342,NaN,NaN,1,2,1,2,2,-0.17,1.26,0,0,1,0.83,0,0,0,0.666666667,797.4285714,0,0,0,7,0.857142857,0
1334204,3,1334204,13342,18479,0,1,0,13,7,2,1,-1,0,0,0,0,NaN,NaN,4,13342,NaN,NaN,2,1,1,2,1,0.23,1.1,0,0,1,0.83,0,0,0,0.666666667,797.4285714,0,0,0,7,0.857142857,0
1334205,3,1334205,13342,18479,0,1,0,13,7,3,12,NA,NaN,NaN,0,1,NaN,NaN,5,13342,NaN,NaN,2,2,1,2,2,NA,NaN,0,0,1,0.83,0,0,0,0.666666667,797.4285714,NA,NA,NA,7,0.857142857,NA
1334206,3,1334206,13342,18479,0,1,0,13,7,2,2,-1,0,0,0,2,NaN,NaN,6,13342,NaN,NaN,2,1,1,2,1,0.23,1.1,0,0,1,0.83,0,0,0,0.666666667,797.4285714,0,0,0,7,0.857142857,0
1334207,3,1334207,13342,18479,0,1,0,13,7,3,11,NA,NaN,NaN,0,0,NaN,NaN,7,13342,NaN,NaN,1,2,1,2,2,NA,NaN,0,0,1,0.83,0,0,0,0.666666667,797.4285714,NA,NA,NA,7,0.857142857,NA
1334208,3,1334208,13342,18479,0,1,0,13,7,3,1,-1,0,0,0,2,NaN,NaN,8,13342,NaN,NaN,1,1,1,2,1,0.23,1.1,0,0,1,0.83,0,0,0,0.666666667,797.4285714,0,0,0,7,0.857142857,0
1334209,3,1334209,13342,18479,0,1,0,13,7,3,1,-1,0,0,0,1,NaN,NaN,9,13342,NaN,NaN,1,1,1,2,1,0.23,1.1,0,0,1,0.83,0,0,0,0.666666667,797.4285714,0,0,0,7,0.857142857,0
1334210,3,1334210,13342,18479,0,1,0,13,7,0,5,-1,0,0,0,1,NaN,NaN,10,13342,NaN,NaN,2,2,2,2,1,0,1.03,0,0,1,0.83,0,0,1,0.4,797.4285714,0,0,0,7,0.857142857,0
1334211,3,1334211,13342,18479,0,1,0,13,7,2,7,-1,0.142857143,0.142857143,0,2,NaN,NaN,11,13342,NaN,NaN,2,2,2,2,2,0.24,7.43,0,0,1,0.83,0,0,1,0.4,797.4285714,0.142857143,0.142857143,0,7,0.857142857,0
1334212,3,1334212,13342,18479,0,1,0,13,7,0,6,0,0.285714286,0.285714286,0,2,NaN,NaN,12,13342,NaN,NaN,1,2,1,2,2,0.05,1.03,0,0,1,0.83,0,0,1,0.666666667,797.4285714,0.285714286,0.285714286,0,7,0.857142857,0
1334213,3,1334213,13342,18479,0,1,0,13,7,3,8,-1,0.142857143,0.142857143,0,1,NaN,NaN,13,13342,NaN,NaN,1,1,1,1,2,0,0,0,0,1,0.83,0,0,1,0.666666667,797.4285714,0.142857143,0.142857143,0,7,0.857142857,0
1334401,3,1334401,13344,18480,0,1,0,13,7,3,12,NA,NaN,NaN,0,0,NaN,NaN,1,13344,NaN,NaN,1,2,1,2,2,NA,NaN,0,0,1,0.83,0,0,0,0.666666667,1060.571429,NA,NA,NA,7,0.857142857,NA
1334402,3,1334402,13344,18480,0,1,0,13,7,3,1,-1,0.142857143,0.142857143,0,2,NaN,NaN,2,13344,NaN,NaN,1,1,1,2,1,0.23,1.1,0,0,1,0.83,0,0,0,0.666666667,1060.571429,0.142857143,0.142857143,0,7,0.857142857,0
1334403,3,1334403,13344,18480,0,1,0,13,7,2,1,-1,0.428571429,0.142857143,0,1,NaN,NaN,3,13344,NaN,NaN,1,1,1,2,1,0.23,1.1,0,0,1,0.83,0,0,0,0.666666667,1060.571429,0.428571429,0.142857143,0.285714286,7,0.857142857,0
1334404,3,1334404,13344,18480,0,1,0,13,7,0,10,NA,NaN,NaN,0,0,NaN,NaN,4,13344,NaN,NaN,2,2,1,2,2,NA,NaN,0,0,1,0.83,0,0,0,0.666666667,1060.571429,NA,NA,NA,7,0.857142857,NA
1334405,3,1334405,13344,18480,0,1,0,13,7,0,4,-1,0,0,0,1,NaN,NaN,5,13344,NaN,NaN,2,2,1,2,2,-0.17,1.26,0,0,1,0.83,0,0,0,0.666666667,1060.571429,0,0,0,7,0.857142857,0
1334406,3,1334406,13344,18480,0,1,0,13,7,0,2,0,0.428571429,0,0,2,NaN,NaN,6,13344,NaN,NaN,2,1,1,2,1,0.23,1.1,0,0,1,0.83,0,0,0,0.666666667,1060.571429,0.428571429,0,0.428571429,7,0.857142857,0
1334407,3,1334407,13344,18480,0,1,0,13,7,0,11,NA,NaN,NaN,0,0,NaN,NaN,7,13344,NaN,NaN,1,2,1,2,2,NA,NaN,0,0,1,0.83,0,0,0,0.666666667,1060.571429,NA,NA,NA,7,0.857142857,NA
1334408,3,1334408,13344,18480,0,1,0,13,7,0,3,-1,0,0,0,2,NaN,NaN,8,13344,NaN,NaN,1,2,1,2,2,0.06,1.39,0,0,1,0.83,0,0,0,0.666666667,1060.571429,0,0,0,7,0.857142857,0
1334409,3,1334409,13344,18480,0,1,0,13,7,0,1,-1,0.142857143,0.142857143,0,1,NaN,NaN,9,13344,NaN,NaN,1,1,1,2,1,0.23,1.1,0,0,1,0.83,0,0,0,0.666666667,1060.571429,0.142857143,0.142857143,0,7,0.857142857,0
1334410,3,1334410,13344,18480,0,1,0,13,7,0,5,-1,0,0,0,1,NaN,NaN,10,13344,NaN,NaN,2,2,2,2,1,0,1.03,0,0,1,0.83,0,0,1,0.4,1060.571429,0,0,0,7,0.857142857,0
1334411,3,1334411,13344,18480,0,1,0,13,7,0,7,-1,0,0,0,2,NaN,NaN,11,13344,NaN,NaN,2,2,2,2,2,0.24,7.43,0,0,1,0.83,0,0,1,0.4,1060.571429,0,0,0,7,0.857142857,0
1334412,3,1334412,13344,18480,0,1,0,13,7,0,6,-1,0.285714286,0,0,2,NaN,NaN,12,13344,NaN,NaN,1,2,1,2,2,0.05,1.03,0,0,1,0.83,0,0,1,0.666666667,1060.571429,0.285714286,0,0.285714286,7,0.857142857,0
1334413,3,1334413,13344,18480,0,1,0,13,7,0,8,0,0.428571429,0.285714286,0,1,NaN,NaN,13,13344,NaN,NaN,1,1,1,1,2,0,0,0,0,1,0.83,0,0,1,0.666666667,1060.571429,0.428571429,0.285714286,0.142857143,7,0.857142857,0
1334601,4,1334601,13346,18481,0,1,1,13,7,0,9,NA,NaN,NaN,0,0,NaN,NaN,1,13346,NaN,NaN,1,2,1,2,2,NA,NaN,1,0,0,0.42,0.45,0,0,0.19047619,725.4285714,NA,NA,NA,7,0.857142857,NA
1334602,4,1334602,13346,18481,0,1,1,13,7,4,12,NA,NaN,NaN,0,1,NaN,NaN,2,13346,NaN,NaN,1,2,1,2,2,NA,NaN,1,0,0,0.42,0.45,0,0,0.19047619,725.4285714,NA,NA,NA,7,0.857142857,NA
1334603,4,1334603,13346,18481,0,1,1,13,7,4,2,-1,0.428571429,0.142857143,0,2,NaN,NaN,3,13346,NaN,NaN,1,1,1,2,1,0.23,1.1,1,0,0,0.42,0.45,0,0,0.19047619,725.4285714,0.428571429,0.142857143,0.285714286,7,0.857142857,0
1334604,4,1334604,13346,18481,0,1,1,13,7,0,1,0,0,0,0,0,NaN,NaN,4,13346,NaN,NaN,2,1,1,2,1,0.23,1.1,1,0,0,0.42,0.45,0,0,0.428571429,725.4285714,0,0,0,7,0.857142857,0
1334605,4,1334605,13346,18481,0,1,1,13,7,3,1,-1,0,0,0,2,NaN,NaN,5,13346,NaN,NaN,2,1,1,2,1,0.23,1.1,1,0,0,0.42,0.45,0,0,0.428571429,725.4285714,0,0,0,7,0.857142857,0
1334606,4,1334606,13346,18481,0,1,1,13,7,0,11,NA,NaN,NaN,0,1,NaN,NaN,6,13346,NaN,NaN,2,2,1,2,2,NA,NaN,1,0,0,0.42,0.45,0,0,0.428571429,725.4285714,NA,NA,NA,7,0.857142857,NA
1334607,4,1334607,13346,18481,0,1,1,13,7,1,3,-1,0,0,0,0,NaN,NaN,7,13346,NaN,NaN,1,2,1,2,2,0.06,1.39,1,0,0,0.42,0.45,0,0,0.238095238,725.4285714,0,0,0,7,0.857142857,0
1334608,4,1334608,13346,18481,0,1,1,13,7,2,10,NA,NaN,NaN,0,1,NaN,NaN,8,13346,NaN,NaN,1,2,1,2,2,NA,NaN,1,0,0,0.42,0.45,0,0,0.238095238,725.4285714,NA,NA,NA,7,0.857142857,NA
1334609,4,1334609,13346,18481,0,1,1,13,7,3,1,-1,0.285714286,0,0,2,NaN,NaN,9,13346,NaN,NaN,1,1,1,2,1,0.23,1.1,1,0,0,0.42,0.45,0,0,0.238095238,725.4285714,0.285714286,0,0.285714286,7,0.857142857,0
1334610,4,1334610,13346,18481,0,1,1,13,7,0,5,-1,0,0,0,1,NaN,NaN,10,13346,NaN,NaN,2,2,2,2,1,0,1.03,1,0,0,0.42,0.45,0,1,0.380952381,725.4285714,0,0,0,7,0.857142857,0
1334611,4,1334611,13346,18481,0,1,1,13,7,3,7,0,0.428571429,0.285714286,0,2,NaN,NaN,11,13346,NaN,NaN,2,2,2,2,2,0.24,7.43,1,0,0,0.42,0.45,0,1,0.380952381,725.4285714,0.428571429,0.285714286,0.142857143,7,0.857142857,0
1334612,4,1334612,13346,18481,0,1,1,13,7,0,6,-1,0,0,0,1,NaN,NaN,12,13346,NaN,NaN,1,2,1,2,2,0.05,1.03,1,0,0,0.42,0.45,0,1,0.571428571,725.4285714,0,0,0,7,0.857142857,0
1334613,4,1334613,13346,18481,0,1,1,13,7,1,8,0,0.428571429,0.142857143,0,1,NaN,NaN,13,13346,NaN,NaN,1,1,1,1,2,0,0,1,0,0,0.42,0.45,0,1,0.571428571,725.4285714,0.428571429,0.142857143,0.285714286,7,0.857142857,0
1334901,4,1334901,13349,18480,0,1,1,13,7,6,10,NA,NaN,NaN,0,0,NaN,NaN,1,13349,NaN,NaN,1,2,1,2,2,NA,NaN,1,0,0,0.42,0.45,0,0,0.19047619,524.1428571,NA,NA,NA,7,0.857142857,NA
1334902,4,1334902,13349,18480,0,1,1,13,7,8,1,-1,0.142857143,0,0,1,NaN,NaN,2,13349,NaN,NaN,1,1,1,2,1,0.23,1.1,1,0,0,0.42,0.45,0,0,0.19047619,524.1428571,0.142857143,0,0.142857143,7,0.857142857,0
1334903,4,1334903,13349,18480,0,1,1,13,7,8,4,-1,0.714285714,0,0,2,NaN,NaN,3,13349,NaN,NaN,1,2,1,2,2,-0.17,1.26,1,0,0,0.42,0.45,0,0,0.19047619,524.1428571,0.714285714,0,0,7,0.857142857,0
1334904,4,1334904,13349,18480,0,1,1,13,7,3,1,0,0.714285714,0.142857143,0,0,NaN,NaN,4,13349,NaN,NaN,2,1,1,2,1,0.23,1.1,1,0,0,0.42,0.45,0,0,0.428571429,524.1428571,0.714285714,0.142857143,0,7,0.857142857,0
1334905,4,1334905,13349,18480,0,1,1,13,7,3,3,-1,0,0,0,2,NaN,NaN,5,13349,NaN,NaN,2,2,1,2,2,0.06,1.39,1,0,0,0.42,0.45,0,0,0.428571429,524.1428571,0,0,0,7,0.857142857,0
1334906,4,1334906,13349,18480,0,1,1,13,7,5,2,-1,0,0,0,1,NaN,NaN,6,13349,NaN,NaN,2,1,1,2,1,0.23,1.1,1,0,0,0.42,0.45,0,0,0.428571429,524.1428571,0,0,0,7,0.857142857,0
1334907,4,1334907,13349,18480,0,1,1,13,7,5,11,NA,NaN,NaN,0,0,NaN,NaN,7,13349,NaN,NaN,1,2,1,2,2,NA,NaN,1,0,0,0.42,0.45,0,0,0.238095238,524.1428571,NA,NA,NA,7,0.857142857,NA
1334908,4,1334908,13349,18480,0,1,1,13,7,4,9,NA,NaN,NaN,0,1,NaN,NaN,8,13349,NaN,NaN,1,2,1,2,2,NA,NaN,1,0,0,0.42,0.45,0,0,0.238095238,524.1428571,NA,NA,NA,7,0.857142857,NA
1334909,4,1334909,13349,18480,0,1,1,13,7,4,12,NA,NaN,NaN,0,2,NaN,NaN,9,13349,NaN,NaN,1,2,1,2,2,NA,NaN,1,0,0,0.42,0.45,0,0,0.238095238,524.1428571,NA,NA,NA,7,0.857142857,NA
1334910,4,1334910,13349,18480,0,1,1,13,7,0,5,-1,0.428571429,0,0,1,NaN,NaN,10,13349,NaN,NaN,2,2,2,2,1,0,1.03,1,0,0,0.42,0.45,0,1,0.380952381,524.1428571,0.428571429,0,0.428571429,7,0.857142857,0
1334911,4,1334911,13349,18480,0,1,1,13,7,3,7,-1,0.142857143,0.142857143,0,2,NaN,NaN,11,13349,NaN,NaN,2,2,2,2,2,0.24,7.43,1,0,0,0.42,0.45,0,1,0.380952381,524.1428571,0.142857143,0.142857143,0,7,0.857142857,0
1334912,4,1334912,13349,18480,0,1,1,13,7,0,6,0,0.428571429,0.428571429,0,1,NaN,NaN,12,13349,NaN,NaN,1,2,1,2,2,0.05,1.03,1,0,0,0.42,0.45,0,1,0.571428571,524.1428571,0.428571429,0.428571429,0,7,0.857142857,0
1334913,4,1334913,13349,18480,0,1,1,13,7,8,8,0,0.714285714,0.714285714,0,1,NaN,NaN,13,13349,NaN,NaN,1,1,1,1,2,0,0,1,0,0,0.42,0.45,0,1,0.571428571,524.1428571,0.714285714,0.714285714,0,7,0.857142857,0
1335001,5,1335001,13350,18481,0,1,1,1,7,0,4,-1,0.428571429,0,0,0,NaN,NaN,1,13350,NaN,NaN,1,2,1,2,2,-0.17,1.26,0,1,0,0,0.2,0,0,0.285714286,818.4285714,0.428571429,0,0.428571429,7,0.857142857,0
1335101,5,1335101,13351,18480,0,1,1,13,7,1,1,0,0.285714286,0.142857143,0,0,NaN,NaN,1,13351,NaN,NaN,1,1,1,2,1,0.23,1.1,0,1,0,0,0.2,0,0,0.285714286,668.2857143,0.285714286,0.142857143,0.142857143,7,0.857142857,0
1335102,5,1335102,13351,18480,0,1,1,13,7,0,10,NA,NaN,NaN,0,2,NaN,NaN,2,13351,NaN,NaN,1,2,1,2,2,NA,NaN,0,1,0,0,0.2,0,0,0.285714286,668.2857143,NA,NA,NA,7,0.857142857,NA
1335103,5,1335103,13351,18480,0,1,1,13,7,0,1,0,0.428571429,0.285714286,0,1,NaN,NaN,3,13351,NaN,NaN,1,1,1,2,1,0.23,1.1,0,1,0,0,0.2,0,0,0.285714286,668.2857143,0.428571429,0.285714286,0.142857143,7,0.857142857,0
1335104,5,1335104,13351,18480,0,1,1,13,7,0,2,-1,0.285714286,0.142857143,0,0,NaN,NaN,4,13351,NaN,NaN,2,1,1,2,1,0.23,1.1,0,1,0,0,0.2,0,0,0.142857143,668.2857143,0.285714286,0.142857143,0.142857143,7,0.857142857,0
1335105,5,1335105,13351,18480,0,1,1,13,7,1,1,-1,0.142857143,0.142857143,0,1,NaN,NaN,5,13351,NaN,NaN,2,1,1,2,1,0.23,1.1,0,1,0,0,0.2,0,0,0.142857143,668.2857143,0.142857143,0.142857143,0,7,0.857142857,0
1335106,5,1335106,13351,18480,0,1,1,13,7,0,11,NA,NaN,NaN,0,2,NaN,NaN,6,13351,NaN,NaN,2,2,1,2,2,NA,NaN,0,1,0,0,0.2,0,0,0.142857143,668.2857143,NA,NA,NA,7,0.857142857,NA
1335107,5,1335107,13351,18480,0,1,1,13,7,0,4,-1,0,0,0,0,NaN,NaN,7,13351,NaN,NaN,1,2,1,2,2,-0.17,1.26,0,1,0,0,0.2,0,0,0.047619048,668.2857143,0,0,0,7,0.857142857,0
1335108,5,1335108,13351,18480,0,1,1,13,7,0,12,NA,NaN,NaN,0,2,NaN,NaN,8,13351,NaN,NaN,1,2,1,2,2,NA,NaN,0,1,0,0,0.2,0,0,0.047619048,668.2857143,NA,NA,NA,7,0.857142857,NA
