"session","round","playerid","alterid","previouslytie","nowtie","playeraction","alteraction","other_d","action_num","break_tie","make_tie","state","CC","DD","player_empanel_id","alter_empanel_id"
"experiment-1.1-fluid-03_43.csv",2,"QShMToNs","YTijWWIK",0,1,"C","C",0,1,0,1,"CC",1,0,"4141908830_78419_01","142236_3992_02"
"e1.2_2017-08-24",2,"raYY3tzu","8xSP33VT",1,1,"C","C",0,0,0,0,"CC",1,0,"4224781187_78419_01","063329_S02_02"
"e1.2_2017-08-24",2,"raYY3tzu","gtw6tUet",0,1,"C","C",0,1,0,1,"CC",1,0,"4224781187_78419_01","1682633998_78419_01"
"experiment-1.1-fluid-01_41.csv",2,"rCehqC4Z","ju7eWJ5D",0,1,"C","C",0,1,0,1,"CC",1,0,"4222261761_78419_01","4198696732_78419_01"
"experiment-1.1-fluid-01_41.csv",2,"rCehqC4Z","Q9i4RgWN",0,1,"C","C",0,1,0,1,"CC",1,0,"4222261761_78419_01","4014781643_78914_01"
"e1.2_2017-08-24",2,"RqcdeZA7","raYY3tzu",1,1,"C","C",0,0,0,0,"CC",1,0,"81614639_23694_01","4224781187_78419_01"
"e1.8_2017-09-17",2,"S2AgJ1pT","dbeyNtbX",1,1,"C","C",0,0,0,0,"CC",1,0,"143881_3992_01","087915_S02_02"
"e1.5_2017-09-06",2,"S9a33uXU","1RCOHcfE",1,1,"C","C",0,0,0,0,"CC",1,0,"4191195351_5107_01","111400_3992_01"
"e1.5_2017-09-06",2,"S9a33uXU","4MEMPAHc",1,1,"C","C",0,1,0,1,"CC",1,0,"4191195351_5107_01","4148905031_78419_01"
"e1.5_2017-09-06",2,"S9a33uXU","uXJWcSH5",1,1,"C","C",0,0,0,0,"CC",1,0,"4191195351_5107_01","025702_S01_HH"
"e1.5_2017-09-06",2,"S9a33uXU","ZZXk3eCC",1,1,"C","C",0,0,0,0,"CC",1,0,"4191195351_5107_01","4183007714_78419_01"
"experiment-1.1-fluid-03_43.csv",2,"sfkkLKmq","A9JZ1kn5",0,1,"C","C",0,1,0,1,"CC",1,0,"4198729760_78419_01","4142230299_78419_01"
"e1.2_2017-08-24",2,"SJ4dRWlS","V8er8tZD",0,1,"C","C",0,1,0,1,"CC",1,0,"4098587119_78419_01","4109808109_78419_01"
"e1.1_2017-09-03",2,"tiUegpsp","HgL5wQXl",0,1,"C","C",0,1,0,1,"CC",1,0,"4174335565_78419_01","4198723823_78419_01"
"e1.1_2017-09-03",2,"tiUegpsp","mn9JA7Xk",1,1,"C","C",0,0,0,0,"CC",1,0,"4174335565_78419_01","1686963147_78419_01"
"e1.1_2017-09-03",2,"tiUegpsp","ZoBQOtGx",1,1,"C","C",0,0,0,0,"CC",1,0,"4174335565_78419_01","4141904285_78419_01"
"e1.1_2017-09-03",2,"tLntXonO","2Jq2iaa0",0,1,"C","C",0,1,0,1,"CC",1,0,"4182955498_78419_01","4182985182_78419_01"
"e1.1_2017-09-03",2,"tLntXonO","GfRDSs32",0,1,"C","C",0,1,0,1,"CC",1,0,"4182955498_78419_01","84031624_23694_01"
"e1.1_2017-09-03",2,"tLntXonO","qqUGu3kS",1,1,"C","C",0,0,0,0,"CC",1,0,"4182955498_78419_01","4191252363_5107_01"
"e1.8_2017-09-17",2,"tqPAyJE4","dbeyNtbX",0,1,"C","C",0,1,0,1,"CC",1,0,"4224780943_78419_01","087915_S02_02"
"e1.8_2017-09-17",2,"tqPAyJE4","OSo4hIty",0,1,"C","C",0,1,0,1,"CC",1,0,"4224780943_78419_01","4206014237_78419_01"
"experiment-1.1-fluid-01_41.csv",2,"tsXNkqxj","9zzCwzgh",0,1,"C","C",0,1,0,1,"CC",1,0,"4083281328_78914_01","4183001962_78419_01"
"experiment-1.1-fluid-01_41.csv",2,"tsXNkqxj","fgcHkh83",0,1,"C","C",0,1,0,1,"CC",1,0,"4083281328_78914_01","1869095040_78419_01"
"experiment-1.1-fluid-01_41.csv",2,"tsXNkqxj","gqkTSJ1Q",1,1,"C","C",0,0,0,0,"CC",1,0,"4083281328_78914_01","4141881257_78419_01"
"experiment-1.1-fluid-01_41.csv",2,"tsXNkqxj","iutftQuX",0,1,"C","C",0,1,0,1,"CC",1,0,"4083281328_78914_01","4209515398_78419_01"
