"playerid","group","round_num","group_connect","connect","condition","session","ingroup","biased","identities","empanel_id"
"AYd5OgAp",0,5,1,0,"Unbiased-2","experiment-2.6-unbiased-2-02_10657.csv",0,0,0,"4098586458_78419_01"
"BbnkOQzz",1,5,1,1,"Unbiased-2","experiment-2.6-unbiased-2-02_10657.csv",1,0,0,"4205982971_78419_01"
"BbnkOQzz",1,5,0,0,"Unbiased-2","experiment-2.6-unbiased-2-02_10657.csv",0,0,0,"4205982971_78419_01"
"bImZpw3M",1,5,0,1,"Unbiased-2","experiment-2.6-unbiased-2-07_10665.csv",0,0,0,"4209526342_78419_01"
"c12dj6al",0,5,0,1,"Unbiased-2","e2.6_2017-09-16",1,0,0,"4175676577_92326_01"
"CDitEj5Y",1,5,1,1,"Biased-2","e2.3_2017-08-28",1,1,0,"4210176701_78419_01"
"CDitEj5Y",1,5,0,1,"Biased-2","e2.3_2017-08-28",0,1,0,"4210176701_78419_01"
"CMkZT74c",0,5,0,1,"Unbiased-2","e2.6_2017-09-16",1,0,0,"4182968972_78419_01"
"CSIho5fN",2,5,2,1,"Biased-4","e2.1_2017-09-03",1,1,1,"4175653832_92326_01"
"cY25uRlE",1,5,2,1,"Unbiased-4","experiment-2.5-unbiased-4-06_10608.csv",0,0,1,"1685916020_78419_01"
"D0irM1wA",1,5,1,1,"Biased-2","e2.3_2017-08-28",1,1,0,"4175654735_92326_01"
"Di14AqqS",3,5,0,1,"Unbiased-4","experiment-2.5-unbiased-4-02_10604.csv",0,0,1,"79145798_EXP_01"
"diPOf8ra",2,5,3,1,"Biased-4","e2.2_2017-08-24",0,1,1,"4033152806_78914_01"
"diPOf8ra",2,5,2,1,"Biased-4","e2.2_2017-08-24",1,1,1,"4033152806_78914_01"
"diPOf8ra",2,5,0,1,"Biased-4","e2.2_2017-08-24",0,1,1,"4033152806_78914_01"
"dPFSO8By",0,5,1,1,"Unbiased-2","experiment-2.6-unbiased-2-02_10657.csv",0,0,0,"4135954562_78419_01"
"eO5jet6P",0,5,0,1,"Biased-2","e2.3_2017-08-28",1,1,0,"1975424113_78419_01"
"eO5jet6P",0,5,1,1,"Biased-2","e2.3_2017-08-28",0,1,0,"1975424113_78419_01"
"eTQUtKSe",0,5,0,1,"Unbiased-2","e2.6_2017-09-16",1,0,0,"4141881004_78419_01"
"eU62ovxG",1,5,0,0,"Biased-2","e2.3_2017-08-28",0,1,0,"4198698469_78419_01"
"eU62ovxG",1,5,1,0,"Biased-2","e2.3_2017-08-28",1,1,0,"4198698469_78419_01"
"g8V3RhKn",0,5,1,0,"Unbiased-4","experiment-2.5-unbiased-4-06_10608.csv",0,0,1,"4034703232_78914_02"
"g8V3RhKn",0,5,0,1,"Unbiased-4","experiment-2.5-unbiased-4-06_10608.csv",1,0,1,"4034703232_78914_02"
"ggsLbDfz",2,5,2,1,"Biased-4","e2.2_2017-08-24",1,1,1,"015419_S01_HH"
"grsC8zRl",2,5,3,1,"Unbiased-4","experiment-2.5-unbiased-4-02_10604.csv",0,0,1,"4141881236_78419_01"
"H0kC41XP",0,5,3,0,"Biased-4","e2.1_2017-09-03",0,1,1,"4142214247_78419_01"
"H0kC41XP",0,5,2,0,"Biased-4","e2.1_2017-09-03",0,1,1,"4142214247_78419_01"
"H0kC41XP",0,5,1,0,"Biased-4","e2.1_2017-09-03",0,1,1,"4142214247_78419_01"
"H0kC41XP",0,5,0,1,"Biased-4","e2.1_2017-09-03",1,1,1,"4142214247_78419_01"
"hEsQGRRN",1,5,1,1,"Biased-2","e2.3_2017-08-28",1,1,0,"4224814466_78419_01"
"Hm8qOgdi",2,5,0,0,"Unbiased-4","experiment-2.5-unbiased-4-06_10608.csv",0,0,1,"005752_S01_HH"
"Hm8qOgdi",2,5,1,0,"Unbiased-4","experiment-2.5-unbiased-4-06_10608.csv",0,0,1,"005752_S01_HH"
"Hm8qOgdi",2,5,2,0,"Unbiased-4","experiment-2.5-unbiased-4-06_10608.csv",1,0,1,"005752_S01_HH"
"Hm8qOgdi",2,5,3,0,"Unbiased-4","experiment-2.5-unbiased-4-06_10608.csv",0,0,1,"005752_S01_HH"
"HQ9XsNlH",1,5,0,0,"Unbiased-2","e2.6_2017-09-16",0,0,0,"4205978713_78419_01"
"IEEr3afx",2,5,0,1,"Biased-4","e2.2_2017-08-24",0,1,1,"4224790013_78419_01"
"IEEr3afx",2,5,2,1,"Biased-4","e2.2_2017-08-24",1,1,1,"4224790013_78419_01"
"IEEr3afx",2,5,3,1,"Biased-4","e2.2_2017-08-24",0,1,1,"4224790013_78419_01"
"In7JArXc",0,5,1,1,"Unbiased-2","experiment-2.6-unbiased-2-02_10657.csv",0,0,0,"4182982317_78419_01"
"iutftQuX",1,5,0,1,"Unbiased-2","experiment-2.6-unbiased-2-07_10665.csv",0,0,0,"4209515398_78419_01"
"JckRZ4Su",1,5,1,1,"Biased-2","e2.3_2017-08-28",1,1,0,"4142231922_78419_01"
"jxy012QP",2,5,2,1,"Biased-4","e2.1_2017-09-03",1,1,1,"4224777765_78419_01"
"kJ508QX4",0,5,0,1,"Biased-4","e2.1_2017-09-03",1,1,1,"147028_3992_01"
"Kku9ydao",0,5,1,1,"Unbiased-2","experiment-2.6-unbiased-2-02_10657.csv",0,0,0,"113402_3992_01"
"L3XqYDJz",0,5,1,1,"Unbiased-4","experiment-2.5-unbiased-4-06_10608.csv",0,0,1,"008751_S01_HH"
"L3XqYDJz",0,5,0,1,"Unbiased-4","experiment-2.5-unbiased-4-06_10608.csv",1,0,1,"008751_S01_HH"
"L3XqYDJz",0,5,2,1,"Unbiased-4","experiment-2.5-unbiased-4-06_10608.csv",0,0,1,"008751_S01_HH"
"lQ8zf0Py",1,5,2,0,"Unbiased-4","experiment-2.5-unbiased-4-06_10608.csv",0,0,1,"4222254040_78419_01"
"lQ8zf0Py",1,5,0,0,"Unbiased-4","experiment-2.5-unbiased-4-06_10608.csv",0,0,1,"4222254040_78419_01"
"lQ8zf0Py",1,5,3,0,"Unbiased-4","experiment-2.5-unbiased-4-06_10608.csv",0,0,1,"4222254040_78419_01"
"lyGJPNXR",0,5,0,0,"Biased-4","e2.2_2017-08-24",1,1,1,"069388_S02_01"
"lyGJPNXR",0,5,1,0,"Biased-4","e2.2_2017-08-24",0,1,1,"069388_S02_01"
"lyGJPNXR",0,5,2,0,"Biased-4","e2.2_2017-08-24",0,1,1,"069388_S02_01"
"lyGJPNXR",0,5,3,0,"Biased-4","e2.2_2017-08-24",0,1,1,"069388_S02_01"
"LYgovvuG",0,5,1,1,"Unbiased-2","experiment-2.6-unbiased-2-02_10657.csv",0,0,0,"028085_S01_HH"
"NazHAhes",1,5,1,1,"Unbiased-2","experiment-2.6-unbiased-2-02_10657.csv",1,0,0,"4210188230_78419_01"
"nHIILYWp",0,5,1,0,"Unbiased-4","experiment-2.5-unbiased-4-06_10608.csv",0,0,1,"4182954213_78419_01"
"nHIILYWp",0,5,2,0,"Unbiased-4","experiment-2.5-unbiased-4-06_10608.csv",0,0,1,"4182954213_78419_01"
"nHIILYWp",0,5,3,0,"Unbiased-4","experiment-2.5-unbiased-4-06_10608.csv",0,0,1,"4182954213_78419_01"
"nHIILYWp",0,5,0,0,"Unbiased-4","experiment-2.5-unbiased-4-06_10608.csv",1,0,1,"4182954213_78419_01"
"NXZbh3Db",3,5,3,1,"Biased-4","e2.2_2017-08-24",1,1,1,"069622_S02_02"
"NXZbh3Db",3,5,2,1,"Biased-4","e2.2_2017-08-24",0,1,1,"069622_S02_02"
"Owokimvp",0,5,1,1,"Unbiased-2","experiment-2.6-unbiased-2-07_10665.csv",0,0,0,"1698995672_78419_01"
"Owokimvp",0,5,0,1,"Unbiased-2","experiment-2.6-unbiased-2-07_10665.csv",1,0,0,"1698995672_78419_01"
"Q4D3m6KL",0,5,0,0,"Unbiased-2","experiment-2.6-unbiased-2-07_10665.csv",1,0,0,"4210169003_78419_01"
"Q4D3m6KL",0,5,1,0,"Unbiased-2","experiment-2.6-unbiased-2-07_10665.csv",0,0,0,"4210169003_78419_01"
"QLBD5hMl",1,5,3,0,"Unbiased-4","experiment-2.5-unbiased-4-06_10608.csv",0,0,1,"4224772796_78419_01"
"QLBD5hMl",1,5,1,0,"Unbiased-4","experiment-2.5-unbiased-4-06_10608.csv",1,0,1,"4224772796_78419_01"
"QLBD5hMl",1,5,2,0,"Unbiased-4","experiment-2.5-unbiased-4-06_10608.csv",0,0,1,"4224772796_78419_01"
"QLBD5hMl",1,5,0,0,"Unbiased-4","experiment-2.5-unbiased-4-06_10608.csv",0,0,1,"4224772796_78419_01"
"Qq1RHXw9",1,5,0,0,"Unbiased-2","experiment-2.6-unbiased-2-02_10657.csv",0,0,0,"1973669509_78419_01"
"Qq1RHXw9",1,5,1,0,"Unbiased-2","experiment-2.6-unbiased-2-02_10657.csv",1,0,0,"1973669509_78419_01"
"qy6qp9r6",1,5,1,1,"Unbiased-2","experiment-2.6-unbiased-2-02_10657.csv",1,0,0,"4222269674_78419_01"
"qy6qp9r6",1,5,0,1,"Unbiased-2","experiment-2.6-unbiased-2-02_10657.csv",0,0,0,"4222269674_78419_01"
"r3AZnOBT",1,5,1,0,"Biased-2","e2.3_2017-08-28",1,1,0,"010914_S01_HH"
"r3AZnOBT",1,5,0,0,"Biased-2","e2.3_2017-08-28",0,1,0,"010914_S01_HH"
"rCOFf22U",2,5,3,1,"Biased-4","e2.2_2017-08-24",0,1,1,"4174330538_78419_01"
"rCOFf22U",2,5,2,1,"Biased-4","e2.2_2017-08-24",1,1,1,"4174330538_78419_01"
"rCOFf22U",2,5,1,1,"Biased-4","e2.2_2017-08-24",0,1,1,"4174330538_78419_01"
"RXIiD3rP",2,5,2,1,"Biased-4","e2.2_2017-08-24",1,1,1,"062838_S02_01"
"SglLvmMk",1,5,0,1,"Unbiased-2","experiment-2.6-unbiased-2-07_10665.csv",0,0,0,"052362_S02_01"
"STfPvxel",1,5,1,1,"Biased-2","e2.3_2017-08-28",1,1,0,"4083379780_5107_01"
"Sx3WY8DF",0,5,0,0,"Biased-4","e2.1_2017-09-03",1,1,1,"4142236580_78419_01"
"Sx3WY8DF",0,5,1,0,"Biased-4","e2.1_2017-09-03",0,1,1,"4142236580_78419_01"
"Sx3WY8DF",0,5,2,0,"Biased-4","e2.1_2017-09-03",0,1,1,"4142236580_78419_01"
