"playerid","round_num","group_coop","decision0d1c","group","condition","session","ingroup","biased","identities","empanel_id"
"a9wxWHuc",1,0,1,"2","Biased-4","e2.1_2017-08-23",0,1,1,"4128112508_78419_01"
"ACUWdU3B",1,0,1,"3","Biased-4","e2.2_2017-08-21",0,1,1,"81544891_23694_01"
"ACUWdU3B",1,3,1,"3","Biased-4","e2.2_2017-08-21",1,1,1,"81544891_23694_01"
"ACUWdU3B",1,1,1,"3","Biased-4","e2.2_2017-08-21",0,1,1,"81544891_23694_01"
"aGLDOR3v",1,1,1,"0","Biased-2","e2.4_2017-08-27",0,1,0,"1975420046_78419_01"
"aGLDOR3v",1,0,1,"0","Biased-2","e2.4_2017-08-27",1,1,0,"1975420046_78419_01"
"ahzL2vxP",1,0,1,"0","Biased-2","e2.4_2017-08-28",1,1,0,"4182999905_78419_01"
"Aosqpm7K",1,3,1,"0","Biased-4","e2.1_2017-08-24",0,1,1,"4198745311_78419_01"
"Aosqpm7K",1,2,1,"0","Biased-4","e2.1_2017-08-24",0,1,1,"4198745311_78419_01"
"Aosqpm7K",1,0,1,"0","Biased-4","e2.1_2017-08-24",1,1,1,"4198745311_78419_01"
"aZ7ejSR5",1,1,0,"1","Biased-2","e2.4_2017-09-01",1,1,0,"4083284137_78914_01"
"aZ7ejSR5",1,0,0,"1","Biased-2","e2.4_2017-09-01",0,1,0,"4083284137_78914_01"
"b3pCCPJi",1,1,1,"0","Unbiased-2","e2.6_2017-09-09",0,0,0,"4142196852_78419_01"
"b3pCCPJi",1,0,1,"0","Unbiased-2","e2.6_2017-09-09",1,0,0,"4142196852_78419_01"
"B8nQCJnk",1,3,0,"1","Biased-4","e2.4_2017-08-21",0,1,1,"4222264061_78419_01"
"B8nQCJnk",1,2,0,"1","Biased-4","e2.4_2017-08-21",0,1,1,"4222264061_78419_01"
"B8nQCJnk",1,1,0,"1","Biased-4","e2.4_2017-08-21",1,1,1,"4222264061_78419_01"
"BTfBuNtB",1,0,1,"3","Biased-4","e2.1_2017-09-01",0,1,1,"4069202132_78914_01"
"BTfBuNtB",1,3,1,"3","Biased-4","e2.1_2017-09-01",1,1,1,"4069202132_78914_01"
"BYpYNLYZ",1,1,1,"1","Biased-2","e2.4_2017-08-27",1,1,0,"060507_S02_02"
"BYpYNLYZ",1,0,1,"1","Biased-2","e2.4_2017-08-27",0,1,0,"060507_S02_02"
"c2a1ApB4",1,3,1,"3","Biased-4","e2.1_2017-08-24",1,1,1,"4210171182_78419_01"
"c2a1ApB4",1,2,0,"3","Biased-4","e2.1_2017-08-24",0,1,1,"4210171182_78419_01"
"c2a1ApB4",1,0,0,"3","Biased-4","e2.1_2017-08-24",0,1,1,"4210171182_78419_01"
"cCWpfNHl",1,1,1,"1","Biased-2","e2.4_2017-08-27",1,1,0,"088523_S02_01"
"cCWpfNHl",1,0,0,"1","Biased-2","e2.4_2017-08-27",0,1,0,"088523_S02_01"
"CDitEj5Y",1,0,1,"0","Biased-2","e2.3_2017-08-28",1,1,0,"4210176701_78419_01"
"CDitEj5Y",1,1,1,"0","Biased-2","e2.3_2017-08-28",0,1,0,"4210176701_78419_01"
"cfHDQFaB",1,2,1,"1","Biased-4","e2.1_2017-08-23",0,1,1,"4209514620_78419_01"
"cfHDQFaB",1,1,1,"1","Biased-4","e2.1_2017-08-23",1,1,1,"4209514620_78419_01"
"CSIho5fN",1,1,1,"1","Biased-4","e2.1_2017-09-03",1,1,1,"4175653832_92326_01"
"CSIho5fN",1,3,0,"1","Biased-4","e2.1_2017-09-03",0,1,1,"4175653832_92326_01"
"cSQt54dS",1,1,1,"1","Biased-2","e2.4_2017-08-31",1,1,0,"1724172254_78419_01"
"cW3Xrh7y",1,0,0,"2","Biased-4","e2.1_2017-08-24",0,1,1,"4182959840_78419_01"
"cW3Xrh7y",1,2,1,"2","Biased-4","e2.1_2017-08-24",1,1,1,"4182959840_78419_01"
"cW3Xrh7y",1,3,1,"2","Biased-4","e2.1_2017-08-24",0,1,1,"4182959840_78419_01"
"CwFE3ItX",1,1,1,"0","Biased-2","e2.3_2017-08-31",0,1,0,"4175653757_92326_01"
"CwFE3ItX",1,0,1,"0","Biased-2","e2.3_2017-08-31",1,1,0,"4175653757_92326_01"
"CY6DEsRy",1,3,1,"3","Biased-4","e2.4_2017-08-21",1,1,1,"157970_3992_01"
"CY6DEsRy",1,2,1,"3","Biased-4","e2.4_2017-08-21",0,1,1,"157970_3992_01"
"CY6DEsRy",1,1,1,"3","Biased-4","e2.4_2017-08-21",0,1,1,"157970_3992_01"
"D0irM1wA",1,0,1,"0","Biased-2","e2.3_2017-08-28",1,1,0,"4175654735_92326_01"
"D0irM1wA",1,1,1,"0","Biased-2","e2.3_2017-08-28",0,1,0,"4175654735_92326_01"
"dbeyNtbX",1,1,1,"1","Unbiased-2","e2.6_2017-09-09",1,0,0,"087915_S02_02"
"dbeyNtbX",1,0,0,"1","Unbiased-2","e2.6_2017-09-09",0,0,0,"087915_S02_02"
"dcZXuvm5",1,2,1,"3","Unbiased-4","e2.5_2017-09-07",0,0,1,"4222268922_78419_01"
"dcZXuvm5",1,1,0,"3","Unbiased-4","e2.5_2017-09-07",0,0,1,"4222268922_78419_01"
"dcZXuvm5",1,0,0,"3","Unbiased-4","e2.5_2017-09-07",0,0,1,"4222268922_78419_01"
"DeKlV503",1,2,1,"2","Biased-4","e2.1_2017-08-27",1,1,1,"4198696487_78419_01"
"DeKlV503",1,0,1,"2","Biased-4","e2.1_2017-08-27",0,1,1,"4198696487_78419_01"
"diPOf8ra",1,1,0,"2","Biased-4","e2.2_2017-08-24",0,1,1,"4033152806_78914_01"
"diPOf8ra",1,0,0,"2","Biased-4","e2.2_2017-08-24",0,1,1,"4033152806_78914_01"
"diPOf8ra",1,2,1,"2","Biased-4","e2.2_2017-08-24",1,1,1,"4033152806_78914_01"
